,BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts
0,902007,2023,00,00,51.0005,51.0005,77.75950,-146.60420,,
1,902007,2023,00,31,51.0216,51.0216,77.75920,-146.60110,,
2,902007,2023,01,01,51.0424,51.0424,77.75890,-146.59860,,
3,902007,2023,01,30,51.0631,51.0631,77.75850,-146.59560,,
4,902007,2023,02,01,51.0841,51.0841,77.75820,-146.59280,,
5,902007,2023,02,30,51.1047,51.1047,77.75790,-146.58990,,
6,902007,2023,03,00,51.1256,51.1256,77.75760,-146.58750,,
7,902007,2023,03,30,51.1463,51.1463,77.75730,-146.58460,,
8,902007,2023,04,01,51.1674,51.1674,77.75690,-146.58080,,
9,902007,2023,04,30,51.1880,51.1880,77.75660,-146.57720,,
10,902007,2023,05,00,51.2085,51.2085,77.75610,-146.57380,,
11,902007,2023,05,30,51.2293,51.2293,77.75570,-146.57030,,
12,902007,2023,06,00,51.2505,51.2505,77.75520,-146.56670,,
13,902007,2023,06,30,51.2710,51.2710,77.75480,-146.56340,,
14,902007,2023,07,00,51.2918,51.2918,77.75430,-146.55980,,
15,902007,2023,07,30,51.3130,51.3130,77.75390,-146.55630,,
16,902007,2023,08,00,51.3337,51.3337,77.75330,-146.55250,,
17,902007,2023,08,31,51.3550,51.3550,77.75270,-146.54790,,
18,902007,2023,09,01,51.3759,51.3759,77.75230,-146.54370,,
19,902007,2023,09,31,51.3967,51.3967,77.75180,-146.53950,,
20,902007,2023,10,00,51.4173,51.4173,77.75140,-146.53530,,
21,902007,2023,10,31,51.4383,51.4383,77.75100,-146.53070,,
22,902007,2023,11,01,51.4592,51.4592,77.75050,-146.52550,,
23,902007,2023,11,31,51.4799,51.4799,77.75010,-146.52070,,
24,902007,2023,12,01,51.5007,51.5007,77.74960,-146.51620,,
25,902007,2023,12,31,51.5215,51.5215,77.74910,-146.51130,,
26,902007,2023,13,01,51.5426,51.5426,77.74870,-146.50740,,
27,902007,2023,13,31,51.5632,51.5632,77.74830,-146.50370,,
28,902007,2023,14,01,51.5842,51.5842,77.74790,-146.49910,,
29,902007,2023,14,30,51.6048,51.6048,77.74740,-146.49530,,
30,902007,2023,15,00,51.6256,51.6256,77.74690,-146.49130,,
31,902007,2023,15,30,51.6464,51.6464,77.74640,-146.48690,,
32,902007,2023,16,00,51.6670,51.6670,77.74580,-146.48200,,
33,902007,2023,16,30,51.6877,51.6877,77.74510,-146.47730,,
34,902007,2023,17,00,51.7089,51.7089,77.74440,-146.47250,,
35,902007,2023,17,30,51.7295,51.7295,77.74360,-146.46790,,
36,902007,2023,18,00,51.7505,51.7505,77.74290,-146.46300,,
37,902007,2023,18,31,51.7715,51.7715,77.74200,-146.45780,,
38,902007,2023,19,01,51.7924,51.7924,77.74120,-146.45250,,
39,902007,2023,19,30,51.8129,51.8129,77.74020,-146.44670,,
40,902007,2023,20,01,51.8341,51.8341,77.73950,-146.44130,,
41,902007,2023,20,31,51.8549,51.8549,77.73870,-146.43580,,
42,902007,2023,21,00,51.8756,51.8756,77.73780,-146.43010,,
43,902007,2023,21,30,51.8964,51.8964,77.73700,-146.42400,,
44,902007,2023,22,01,51.9176,51.9176,77.73610,-146.41750,,
45,902007,2023,22,30,51.9380,51.9380,77.73520,-146.41140,,
46,902007,2023,23,01,51.9594,51.9594,77.73450,-146.40470,,
47,902007,2023,23,31,51.9799,51.9799,77.73370,-146.39850,,
48,902007,2023,00,01,52.0009,52.0009,77.73290,-146.39230,,
49,902007,2023,00,31,52.0216,52.0216,77.73190,-146.38590,,
50,902007,2023,01,01,52.0427,52.0427,77.73080,-146.37990,,
51,902007,2023,01,31,52.0632,52.0632,77.72980,-146.37430,,
52,902007,2023,02,01,52.0840,52.0840,77.72870,-146.36850,,
53,902007,2023,02,31,52.1049,52.1049,77.72780,-146.36280,,
54,902007,2023,03,00,52.1255,52.1255,77.72690,-146.35690,,
55,902007,2023,03,30,52.1460,52.1460,77.72600,-146.35120,,
56,902007,2023,04,01,52.1674,52.1674,77.72520,-146.34550,,
57,902007,2023,04,30,52.1880,52.1880,77.72420,-146.34000,,
58,902007,2023,05,00,52.2085,52.2085,77.72330,-146.33440,,
59,902007,2023,05,30,52.2293,52.2293,77.72240,-146.32880,,
60,902007,2023,06,00,52.2505,52.2505,77.72150,-146.32380,,
61,902007,2023,06,30,52.2710,52.2710,77.72060,-146.31900,,
62,902007,2023,07,00,52.2918,52.2918,77.71980,-146.31390,,
63,902007,2023,07,30,52.3130,52.3130,77.71930,-146.30930,,
64,902007,2023,08,00,52.3339,52.3339,77.71860,-146.30480,,
65,902007,2023,08,30,52.3548,52.3548,77.71800,-146.29950,,
66,902007,2023,09,01,52.3759,52.3759,77.71720,-146.29430,,
67,902007,2023,09,31,52.3967,52.3967,77.71650,-146.28890,,
68,902007,2023,10,01,52.4176,52.4176,77.71590,-146.28370,,
69,902007,2023,10,31,52.4384,52.4384,77.71510,-146.27880,,
70,902007,2023,11,01,52.4591,52.4591,77.71440,-146.27400,,
71,902007,2023,11,31,52.4799,52.4799,77.71380,-146.26930,,
72,902007,2023,12,01,52.5007,52.5007,77.71310,-146.26480,,
73,902007,2023,12,31,52.5215,52.5215,77.71250,-146.26050,,
74,902007,2023,13,01,52.5424,52.5424,77.71200,-146.25630,,
75,902007,2023,13,30,52.5630,52.5630,77.71150,-146.25190,,
76,902007,2023,14,01,52.5840,52.5840,77.71110,-146.24700,,
77,902007,2023,14,31,52.6049,52.6049,77.71050,-146.24270,,
78,902007,2023,15,00,52.6255,52.6255,77.71000,-146.23790,,
79,902007,2023,15,31,52.6465,52.6465,77.70950,-146.23330,,
80,902007,2023,16,00,52.6672,52.6672,77.70920,-146.22820,,
81,902007,2023,16,30,52.6877,52.6877,77.70890,-146.22340,,
82,902007,2023,17,01,52.7092,52.7092,77.70860,-146.21830,,
83,902007,2023,17,30,52.7294,52.7294,77.70850,-146.21350,,
84,902007,2023,18,00,52.7502,52.7502,77.70850,-146.20840,,
85,902007,2023,18,31,52.7715,52.7715,77.70840,-146.20250,,
86,902007,2023,19,00,52.7922,52.7922,77.70830,-146.19710,,
87,902007,2023,19,30,52.8130,52.8130,77.70820,-146.19150,,
88,902007,2023,20,01,52.8342,52.8342,77.70830,-146.18570,,
89,902007,2023,20,31,52.8552,52.8552,77.70820,-146.18020,,
90,902007,2023,21,01,52.8757,52.8757,77.70820,-146.17470,,
91,902007,2023,21,31,52.8965,52.8965,77.70830,-146.16960,,
92,902007,2023,22,01,52.9176,52.9176,77.70840,-146.16420,,
93,902007,2023,22,30,52.9380,52.9380,77.70860,-146.15860,,
94,902007,2023,23,01,52.9594,52.9594,77.70880,-146.15300,,
95,902007,2023,23,31,52.9799,52.9799,77.70910,-146.14730,,
96,900115,2023,00,01,51.0009,51.0009,79.76180,-150.51170,,
97,900115,2023,00,31,51.0215,51.0215,79.76150,-150.50530,,
98,900115,2023,01,00,51.0423,51.0423,79.76120,-150.49860,,
99,900115,2023,01,30,51.0631,51.0631,79.76080,-150.49110,,
100,900115,2023,02,00,51.0835,51.0835,79.76040,-150.48410,,
101,900115,2023,02,30,51.1047,51.1047,79.76010,-150.47590,,
102,900115,2023,03,01,51.1257,51.1257,79.75980,-150.46880,,
103,900115,2023,03,31,51.1466,51.1466,79.75950,-150.46020,,
104,900115,2023,04,00,51.1672,51.1672,79.75900,-150.45200,,
105,900115,2023,04,31,51.1882,51.1882,79.75860,-150.44320,,
106,900115,2023,04,45,51.1985,51.1985,79.75840,-150.43850,,
107,900115,2023,05,30,51.2293,51.2293,79.75770,-150.42460,,
108,900115,2023,06,00,51.2506,51.2506,79.75740,-150.41500,,
109,900115,2023,06,30,51.2714,51.2714,79.75720,-150.40610,,
110,900115,2023,07,00,51.2922,51.2922,79.75690,-150.39720,,
111,900115,2023,07,31,51.3132,51.3132,79.75640,-150.38780,,
112,900115,2023,08,00,51.3339,51.3339,79.75600,-150.37950,,
113,900115,2023,08,30,51.3547,51.3547,79.75560,-150.36980,,
114,900115,2023,09,01,51.3759,51.3759,79.75490,-150.36070,,
115,900115,2023,09,31,51.3967,51.3967,79.75450,-150.35210,,
116,900115,2023,10,01,51.4180,51.4180,79.75410,-150.34310,,
117,900115,2023,10,31,51.4384,51.4384,79.75360,-150.33390,,
118,900115,2023,11,01,51.4590,51.4590,79.75320,-150.32430,,
119,900115,2023,11,31,51.4799,51.4799,79.75270,-150.31540,,
120,900115,2023,12,00,51.5007,51.5007,79.75210,-150.30540,,
121,900115,2023,12,31,51.5219,51.5219,79.75160,-150.29530,,
122,900115,2023,13,01,51.5427,51.5427,79.75110,-150.28530,,
123,900115,2023,13,30,51.5630,51.5630,79.75090,-150.27440,,
124,900115,2023,14,01,51.5840,51.5840,79.75050,-150.26310,,
125,900115,2023,14,30,51.6045,51.6045,79.75000,-150.25330,,
126,900115,2023,15,01,51.6257,51.6257,79.74950,-150.24220,,
127,900115,2023,15,31,51.6465,51.6465,79.74890,-150.22940,,
128,900115,2023,16,00,51.6672,51.6672,79.74850,-150.21890,,
129,900115,2023,16,30,51.6877,51.6877,79.74770,-150.20550,,
130,900115,2023,17,00,51.7089,51.7089,79.74690,-150.19360,,
131,900115,2023,17,30,51.7297,51.7297,79.74610,-150.18210,,
132,900115,2023,18,00,51.7502,51.7502,79.74560,-150.17040,,
